product,company_product_id,store_id,is_onsale,regular_price_ea,current_price_ea,edited_at,product_id,company_id
Apples - 3lb bag or individual,42305048,1499,0,0,1.38,2021-11-25,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.38,2021-12-02,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.38,2021-12-30,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.38,2021-11-18,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.38,2021-08-12,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.15,2020-11-12,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.15,2020-11-19,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.15,2020-11-26,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.15,2020-12-03,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.15,2020-12-10,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.15,2020-12-24,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.15,2020-12-31,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.15,2020-12-31,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.15,2021-01-10,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.15,2021-01-17,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.15,2021-01-21,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.15,2021-02-04,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.15,2021-02-11,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.15,2021-02-18,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.15,2021-02-25,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.15,2021-03-04,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.15,2021-03-11,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.15,2021-03-18,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.15,2021-03-25,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.15,2021-04-01,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.15,2021-04-08,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.15,2021-04-15,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.15,2021-04-22,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.15,2021-05-01,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.15,2021-05-06,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.15,2021-06-03,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.15,2021-06-12,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.15,2021-05-13,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.15,2021-05-20,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.15,2021-05-27,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.38,2021-08-19,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.15,2021-07-01,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.38,2021-08-26,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.38,2021-09-02,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.38,2021-09-09,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.38,2021-09-22,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.15,2021-06-17,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.15,2021-06-24,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.15,2021-09-23,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.38,2021-09-30,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.38,2021-10-09,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.38,2021-10-14,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.38,2021-10-21,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.38,2021-11-11,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.15,2021-07-15,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.15,2021-07-22,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.38,2021-07-29,55107512,5
Apples - 3lb bag or individual,42305048,1499,0,0,1.38,2021-08-05,55107512,5
Carrots,42304489,1499,1,0,2.49,2021-11-25,55106953,5
Carrots,42304489,1499,0,0,2.49,2021-12-02,55106953,5
Carrots,42304489,1499,0,0,2.49,2021-12-30,55106953,5
Carrots,42304489,1499,0,0,2.49,2021-11-18,55106953,5
Carrots,42304489,1499,0,0,2.49,2021-08-12,55106953,5
Carrots,42304489,1499,1,2,2.49,2020-11-12,55106953,5
Carrots,42304489,1499,1,2,2.49,2020-11-19,55106953,5
Carrots,42304489,1499,0,0,2.49,2020-11-26,55106953,5
Carrots,42304489,1499,1,2,2.49,2020-12-03,55106953,5
Carrots,42304489,1499,0,0,2.99,2020-12-10,55106953,5
Carrots,42304489,1499,0,0,2.49,2021-01-17,55106953,5
Carrots,42304489,1499,0,0,2.99,2021-01-21,55106953,5
Carrots,42304489,1499,0,0,2.99,2021-02-04,55106953,5
Carrots,42304489,1499,0,0,2.99,2021-02-11,55106953,5
Carrots,42304489,1499,0,0,2.99,2021-02-18,55106953,5
Carrots,42304489,1499,0,0,2.99,2021-02-25,55106953,5
Carrots,42304489,1499,0,0,2.99,2021-03-04,55106953,5
Carrots,42304489,1499,1,2,2,2021-03-11,55106953,5
Carrots,42304489,1499,0,0,2.99,2021-03-18,55106953,5
Carrots,42304489,1499,0,0,2.99,2021-03-25,55106953,5
Carrots,42304489,1499,0,0,2.99,2021-04-01,55106953,5
Carrots,42304489,1499,0,0,2.99,2021-04-08,55106953,5
Carrots,42304489,1499,0,0,2.49,2021-04-15,55106953,5
Carrots,42304489,1499,0,0,2.49,2021-04-22,55106953,5
Carrots,42304489,1499,1,0,1.99,2021-05-01,55106953,5
Carrots,42304489,1499,0,0,2.49,2021-05-06,55106953,5
Carrots,42304489,1499,0,0,2.49,2021-06-03,55106953,5
Carrots,42304489,1499,0,0,2.49,2021-06-12,55106953,5
Carrots,42304489,1499,0,0,2.49,2021-05-13,55106953,5
Carrots,42304489,1499,0,0,2.49,2021-05-20,55106953,5
Carrots,42304489,1499,0,0,2.49,2021-05-27,55106953,5
Carrots,42304489,1499,0,0,2.49,2021-08-19,55106953,5
Carrots,42304489,1499,0,0,2.49,2021-07-01,55106953,5
Carrots,42304489,1499,0,0,2.49,2021-08-26,55106953,5
Carrots,42304489,1499,0,0,2.49,2021-09-02,55106953,5
Carrots,42304489,1499,0,0,2.49,2021-09-09,55106953,5
Carrots,42304489,1499,0,0,2.49,2021-09-22,55106953,5
Carrots,42304489,1499,0,0,2.49,2021-06-17,55106953,5
Carrots,42304489,1499,0,0,2.49,2021-06-24,55106953,5
Carrots,42304489,1499,0,0,2.49,2021-09-23,55106953,5
Carrots,42304489,1499,0,0,2.49,2021-09-30,55106953,5
Carrots,42304489,1499,1,0,1.99,2021-10-09,55106953,5
Carrots,42304489,1499,0,0,2.49,2021-10-14,55106953,5
Carrots,42304489,1499,0,0,2.49,2021-07-08,55106953,5
